t,track_id,cluster_idx,p_pred,reward,cum_like_rate,rolling_like_rate
0,5Eax0qFko2dh7Rl2lYs3bx,0,0.12252003051973771,0,0.0,0.0
1,7dSZ6zGTQx66c2GF91xCrb,0,0.13032522875934477,0,0.0,0.0
2,4h9wh7iOZ0GGn8QVp4RAOB,1,0.27886735155765063,1,0.3333333333333333,0.3333333333333333
3,1xzi1Jcr7mEi9K2RfzLOqS,1,0.26767762451560423,0,0.25,0.25
4,5IgjP7X4th6nMNDh4akUHb,2,0.12635995636440295,0,0.2,0.2
5,3k3NWokhRRkEPhCzPmV8TW,2,0.11640733471321621,0,0.16666666666666666,0.16666666666666666
6,6xGruZOHLs39ZbVccQTuPZ,3,0.12265523023046332,0,0.14285714285714285,0.14285714285714285
7,3JvKfv6T31zO0ini8iNItO,3,0.1192174029456492,0,0.125,0.125
8,2vWBUC9djv6BtiGlmKiQaH,4,0.11862188254952502,0,0.1111111111111111,0.1111111111111111
9,4IhTXiZLKATmwhMZIb1GQN,4,0.11603906662629054,0,0.1,0.1
10,41oY4WCTj5kccfesTVFnvN,5,0.12096122437663102,0,0.09090909090909091,0.09090909090909091
11,7DbdUf8aHSYoliSjO6LZv6,5,0.12338332122153367,0,0.08333333333333333,0.08333333333333333
12,6KHsTu4Ht4XYiWcZOOdwbW,6,0.11791161532751251,0,0.07692307692307693,0.07692307692307693
13,6dr7ekfhlbquvsVY8D7gyk,6,0.12191919304108713,0,0.07142857142857142,0.07142857142857142
14,0yc6Gst2xkRu0eMLeRMGCX,7,0.1179948579129728,0,0.06666666666666667,0.06666666666666667
15,7H7NyZ3G075GqPx2evsfeb,7,0.1275768413605127,0,0.0625,0.0625
16,4LRPiXqCikLlN15c3yImP7,8,0.13209777964201067,0,0.058823529411764705,0.058823529411764705
17,3F5CgOj3wFlRv51JsHbxhe,8,0.12784525107164793,0,0.05555555555555555,0.05555555555555555
18,6i1g5ZRmJZAkDwBaUZ3f2i,9,0.12719227912598208,0,0.05263157894736842,0.05263157894736842
19,0hquQWY3xvYqN4qtiquniF,9,0.13411007936388894,0,0.05,0.05
20,5hcVwEQy4sgFNWBr0MiEiv,8,0.13305099096898398,0,0.047619047619047616,0.05
21,6iQbOK06gjwKEpMpU4uRJ9,3,0.1227115843545187,0,0.045454545454545456,0.05
22,0oOQ5U0gsQKujmgrI8ajWZ,1,0.2749567507051237,0,0.043478260869565216,0.0
23,6fFFWdezWrLTXli7Uly4HJ,8,0.09448845594320654,1,0.08333333333333333,0.05
24,5DbA5Zr8AeERgwcGoc7irV,4,0.08612437491584438,0,0.08,0.05
25,4uVIIcnBCBXzDRONRhOsYJ,8,0.19139091053027468,0,0.07692307692307693,0.05
26,7GINihl73NgdMH2N33P2rR,7,0.09885869765219166,0,0.07407407407407407,0.05
27,7F5O2pMgNNjONTbdqQx9b3,9,0.12105455349289404,0,0.07142857142857142,0.05
28,02iaqWxSrjvp15DKdFvnwr,6,0.10828757503359764,0,0.06896551724137931,0.05
29,0ltAzeqsd9rcKC8xRbX4jk,5,0.13491216902945058,0,0.06666666666666667,0.05
30,5RBJJqgq95xRoDaIWnzCkM,1,0.2025234726503555,0,0.06451612903225806,0.05
31,4mXTwtJ1IhSiyIatOmfyHz,8,0.1506575133592999,0,0.0625,0.05
32,3I04ZEXAep0W7hYABUQxm0,7,0.09304002482270085,0,0.06060606060606061,0.05
33,7t3lm1x3o4jyB3WGncv9Ck,1,0.16566774974528645,0,0.058823529411764705,0.05
34,04ry07aeaZz1314Ni9MuAq,9,0.10436485839192014,0,0.05714285714285714,0.05
35,0JiPUFfWlhT1SJ92eZ84GU,2,0.1297573041801222,1,0.08333333333333333,0.1
36,3rbv3qsPkbPKf6FnLTQSNF,1,0.1311990297541158,0,0.08108108108108109,0.1
37,4d2iyTqXpqavs58Zso5CV6,0,0.11670054460146709,0,0.07894736842105263,0.1
38,5zsatkx2tAjgZSWAJGaK2T,0,0.09911436817936808,0,0.07692307692307693,0.1
39,11CrYElJH7l26yy5Tb5Ihy,1,0.13466233290027885,0,0.075,0.1
40,1IDozgb2HiuB31FXbUsvJJ,2,0.20574398728461019,0,0.07317073170731707,0.1
41,0GOqNgtK1cXVpVks6oDRW6,0,0.07342680120862606,0,0.07142857142857142,0.1
42,6ptIxIDLyhSizHXT84IyOs,7,0.07700642912739622,1,0.09302325581395349,0.15
43,57KbqXf7yBzraKS6AzS5Av,2,0.1914687994536787,0,0.09090909090909091,0.1
44,0AzD1FEuvkXP1verWfaZdv,7,0.14546546449785122,0,0.08888888888888889,0.1
45,3Gcq5Gzlumu6pQImDYGkmS,7,0.12227254215125237,0,0.08695652173913043,0.1
46,3KFZYmO40ckgMzf6d12zI6,9,0.08088655176032945,0,0.0851063829787234,0.1
47,50v8t9bmnwyu9iuMNJIIaG,5,0.09193980654684726,0,0.08333333333333333,0.1
48,6JEyVE81QXHryJLl7s5aL7,8,0.12699072137866158,0,0.08163265306122448,0.1
49,7AQP91cKxvdW7uLAHRi0Wd,0,0.07049215554652499,0,0.08,0.1
50,1qAGpBFyORs2L4TYSY31xq,3,0.0847069937325965,0,0.0784313725490196,0.1
51,1umCMBSrqMBqmwNl1VfYus,5,0.07552763339126867,0,0.07692307692307693,0.1
